Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
Office of the AG,45,14,21,67,5,18,2,2,38,2,22,37,273
Office of the DAG,17,16,15,32,5,8,3,1,4,1,7,14,123
Office of the Assoc. AG,3,3,21,27,3,1,0,2,3,2,4,2,71
Antitrust,10,19,19,30,1,5,4,0,0,0,2,0,90
ATF,177,592,212,223,19,4,167,22,22,11,29,7,1485
BOP,10520,1587,209,1426,24,92,383,678,587,415,217,0,16138
Civil,89,47,14,117,5,23,13,2,9,0,7,0,326
Civil Rights,182,128,43,30,36,10,8,1,8,1,3,0,450
COPS,35,8,0,25,2,3,0,0,0,0,0,0,73
Criminal,71,95,55,335,89,13,2,161,5,139,12,0,977
CRS,9,0,0,0,0,0,0,0,0,0,0,0,9
DEA,64,448,41,192,9,24,39,120,15,7,25,258,1242
ENRD,24,35,5,26,0,4,0,2,0,0,0,0,96
EOIR,12927,356,20,3479,13,24,104,2,17,1,370,0,17313
EOUSA,419,606,726,551,371,53,140,404,829,386,52,101,4638
EOUST,7,18,2,6,0,3,6,10,2,2,1,0,57
FBI,192,3469,348,6440,18,230,589,2169,31,0,1179,0,14665
FCSC,4,6,0,9,0,0,0,0,0,0,0,0,19
JMD,69,10,3,20,18,8,40,11,8,5,5,2,199
NDIC,14,26,0,31,3,1,0,1,2,0,1,0,79
NSD,37,52,45,101,3,3,1,10,5,8,4,10,279
OCDETF,0,0,0,1,0,0,0,0,0,0,0,0,1
ODR,0,0,0,9,0,0,0,0,0,0,0,0,9
OFDT,9,7,0,13,4,1,1,0,0,0,0,0,35
OIG,41,65,18,75,7,11,1,0,0,1,0,0,219
OIP,33,6,1,30,10,10,5,8,267,6,6,170,552
OIPL,4,1,0,19,1,2,1,0,2,0,2,2,34
OJP,91,224,7,72,27,26,0,0,0,0,1,0,448
OLA,14,14,1,21,5,44,0,0,3,0,8,8,118
OLC,12,2,4,9,1,2,0,0,0,0,0,1,31
OLP,9,34,1,31,1,2,0,0,6,3,4,3,94
OPR,12,13,34,39,6,0,0,6,3,0,3,0,116
OSG,21,12,3,18,0,0,0,2,0,2,0,0,58
OVW,18,21,4,11,3,0,0,0,0,0,0,0,57
Pardon Attorney,34,21,5,17,0,2,0,0,1,1,0,0,81
Public Affairs,5,4,1,17,0,1,0,0,4,0,1,4,37
PRAO,3,0,0,9,0,0,0,0,1,2,0,0,15
TAX,14,20,6,82,6,1,0,6,26,1,0,1,163
USMS,727,575,131,211,18,5,11,2,85,15,10,7,1797
USNCB,17,45,23,50,3,0,0,0,31,3,0,1,173
USPC,397,74,1,92,1,23,25,0,115,0,0,0,728
Total,26376,8673,2039,13993,717,657,1545,3622,2129,1014,1975,628,63368
