Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
BPA,2,118,101,19,
CBFO,1,15,16,0,
CH,5,58,63,0,
EMCBC,6,30,33,3,
GFO,12,197,206,3,
HQ,169,897,851,215,
ID,1,35,36,0,
NETL,9,89,90,8,
NNSA,172,318,300,190,
NR,0,0,0,0,
NRLFO,0,10,9,1,
ORO,23,240,249,14,
OSTI,1,3,2,2,
ROO,1,105,106,0,
SEPA,0,0,0,0,
SPR,0,4,3,1,
SRO,5,57,54,8,
SWPA,0,6,6,0,
WAPA,1,24,24,1,
Total,408,2206,2149,465,
