Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
Admin,0,0,0,0,
BVA,0,0,0,0,
C&LA,0,0,0,0,
CFM,0,0,0,0,
GC,0,1,1,1,
HRM,0,0,0,0,
IG,0,0,0,0,
Mgmt,0,0,0,0,
NCA,0,0,0,0,
OAL,1,3,1.5,4,
OASHRA,1,0,1,1,
OASP&IA,0,0,0,0,
ODASB,0,0,0,0,
ODASIA,0,0,0,0,
ODI,0,0,0,0,
OF,1,0,105,105,
OI&T,0,1,1,1,
ORM,0,0,0,0,
OSDBU,0,0,0,0,
OSP,0,0,0,0,
P&P,0,0,0,0,
PA,0,0,0,0,
SEC,1,0,1,1,
VBA,200,3,1,2.55,
VHA,278,18,46,49.9,
Total,482,26,N/A,N/A,
