Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BPA,15,20.33,,82,37.5,46.77,20,141,,,,,
CBFO,5,7.38,,33,,,,,,,,,
CH,3,5.64,,20,19,23.79,7,112,,,,,
EMCBC,22.5,50.38,,319,33,48.71,,127,,,,,
GFO,20.5,20.36,,62,,,,,,,,,
HQ,27,66.65,,1732,59,88.21,,452,222,222,222,222,
ID,8,9.36,,53,18,41.67,5,102,,,,,
NETL,12,17.51,,80,,,,,,,,,
NNSA,13,24.4,,157,53,163.88,,2305,9,9,9,9,
NRLFO,12,18.22,,79,,,,,,,,,
ORO,18,26.83,,145,28,82.24,,372,4.5,4.75,4,6,
OSTI,11,11,9,13,,,,,,,,,
ROO,7,11.36,,229,,,,,,,,,
SPR,15,14,6,21,,,,,,,,,
SRO,11,15.06,,136,,,,,,,,,
SWPA,19,17.83,3,30,,,,,,,,,
WAPA,7,7.21,,19,,,,,,,,,
Total,16,40,0,1732,45,121,0,2305,6,42,4,222,
