Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,24,6,20,1,1,5,1,15,2,1,69,
ARMY,30,7,0,1,0,2,0,8,2,0,5,
DCMA,0,0,1,0,0,0,0,0,0,0,0,
DIA,25,0,1,0,0,3,0,0,0,1,3,
DLA,0,0,4,0,0,1,0,0,0,1,0,
DoDIG,4,0,0,0,4,0,0,0,3,1,0,
DTRA,1,0,0,0,0,0,0,0,0,0,1,
NAVY,7,0,19,10,0,38,0,7,0,0,120,
NGA,1,0,1,0,0,0,0,0,0,0,0,
NRO,2,0,2,0,0,0,0,0,0,0,0,
NSA,0,0,4,0,0,0,0,1,4,0,6,
OSD/JS,12,2,5,8,0,7,0,0,0,3,41,
Total,106,15,57,20,5,56,1,31,11,7,245,
