Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
AMS,15,126,126,15,
APHIS,462,708,909,261,
ASCR,2,5,7,0,
DM,8,63,65,6,
FAS,1,30,27,4,
FNCS,6,177,161,22,
FS,265,2771,2378,658,
FSA,141,14267,14247,161,
FSIS,160,387,248,299,
GIPSA,4,77,77,4,
NAD,0,10,10,0,
NRCS,5,475,476,4,
OBPA,0,13,13,0,
OCFO,1,27,27,1,
OGC,11,24,25,10,
OIG,27,121,145,3,
OSEC,18,83,75,26,
RD,60,750,703,107,
REE,6,144,136,14,
RMA,10,110,107,13,
Total,1202,20368,19962,1608,
