Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
Office of the AG,264,320,237,273,
Office of the DAG,117,151,98,123,
Office of the Assoc. AG,48,77,45,71,
Antitrust,98,86,93,90,
ATF,1525,1455,1428,1485,
BOP,15723,15640,15341,16138,
Civil,327,316,300,326,
Civil Rights,475,446,442,450,
COPS,66,73,66,73,
Criminal,921,930,1061,977,
CRS,7,10,7,9,
DEA,1518,1656,1784,1242,
ENRD,75,84,76,96,
EOIR,14497,17498,14259,17313,
EOUSA,4686,4667,4609,4638,
EOUST,62,51,83,57,
FBI,15664,14957,15195,14665,
FCSC,25,20,25,19,
JMD,216,179,176,199,
NDIC,91,74,87,79,
NSD,243,185,158,279,
OCDETF,0,7,0,1,
ODR,7,9,7,9,
OFDT,70,34,71,35,
OIG,219,209,222,219,
OIP,390,598,392,552,
OIPL,21,28,18,34,
OJP,381,486,371,448,
OLA,127,73,63,118,
OLC,79,72,52,31,
OLP,89,92,90,94,
OPR,109,113,113,116,
OSG,153,60,160,58,
OVW,44,59,44,57,
Pardon Attorney,98,80,104,81,
Public Affairs,47,39,45,37,
PRAO,17,16,16,15,
TAX,146,150,133,163,
USMS,1488,1816,1490,1797,
USNCB,204,163,177,173,
USPC,763,703,788,728,
Total,61100,63682,59926,63368,
