Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
ADJ BDS,23,21,24,21,
ALJ,120,142,125,144,
ASP,2,5,3,43,
BLS,25,22,23,20,
CFO,12,17,12,17,
EBSA,2400,2290,2319,2332,
ETA,1251,1309,1243,1345,
ILAB,14,11,15,12,
MSHA,1620,1990,1571,1920,
OASAM,259,314,225,334,
OCIA,0,1,0,1,
ODEP,0,2,0,2,
OFCCP,349,270,341,285,
OIG,82,77,66,84,
OLMS,112,88,117,96,
OPA,4,9,4,4,
OSHA,8328,8463,8618,8613,
OWCP,623,270,629,284,
SOL,25,30,18,30,
VETS,116,114,116,112,
WB,8,11,8,11,
WHD,1349,1942,1328,1915,
Total,16722,17398,16805,17625,
