Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ATLANTA,Date of Receipt,2010-09-16,2010-09-10,2010-09-10,2010-09-08,2010-09-07,2010-09-07,2010-09-07,2010-09-03,2010-09-03,2010-09-02
ATLANTA,Number of Days Pending,9,13,13,15,16,16,16,17,17,18
BIRMINGHAM,Date of Receipt,2010-09-07,2010-09-03,2010-09-03,2010-09-03,2010-09-03,2010-09-02,2010-09-02,2010-09-01,2010-08-30,2010-08-26
BIRMINGHAM,Number of Days Pending,16,17,17,17,17,18,18,19,21,23
CHARLOTTE,Date of Receipt,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02
CHARLOTTE,Number of Days Pending,19,19,19,19,19,19,19,19,19,19
CHICAGO,Date of Receipt,2010-09-17,2010-09-17,2010-09-17,2010-09-17,2010-09-17,2010-09-14,2010-09-14,2010-09-10,2010-09-08,2010-05-27
CHICAGO,Number of Days Pending,8,8,8,8,8,11,11,13,15,86
DALLAS,Date of Receipt,2010-08-27,2010-08-27,2010-08-26,2010-08-26,2010-08-25,2010-08-24,2010-08-23,2010-08-23,2010-08-23,2010-08-03
DALLAS,Number of Days Pending,22,22,23,23,24,25,26,26,26,40
HOUSTON,Date of Receipt,2010-09-07,2010-09-07,2010-09-07,2010-09-03,2010-09-01,2010-09-03,2010-09-03,2010-09-02,2010-09-02,2010-07-26
HOUSTON,Number of Days Pending,17,17,17,17,17,18,18,19,19,46
INDIANAPOLIS,Date of Receipt,2010-09-14,2010-09-14,2010-09-14,2010-09-14,2010-09-14,2010-09-14,2010-09-14,2010-09-14,2010-09-13,2010-09-09
INDIANAPOLIS,Number of Days Pending,11,11,11,11,11,11,11,11,12,14
MEMPHIS,Date of Receipt,2010-09-20,2010-09-20,2010-09-20,2010-09-20,2010-09-17,2010-09-17,2010-09-17,2010-09-17,2010-09-16,2010-09-16
MEMPHIS,Number of Days Pending,7,7,7,7,8,8,8,8,9,9
MIAMI,Date of Receipt,2010-09-08,2010-09-07,2010-09-08,2010-09-08,2010-09-08,2010-09-08,2010-09-07,2010-09-03,2010-08-31,2010-06-10
MIAMI,Number of Days Pending,16,16,16,16,16,16,17,17,21,77
NEW YORK,Date of Receipt,2010-06-16,2010-06-14,2010-06-01,2010-06-01,2010-06-01,2010-05-23,2010-05-23,2010-05-16,2010-05-16,2010-04-09
NEW YORK,Number of Days Pending,73,75,84,84,84,90,90,95,95,120
OLC/HDQ,Date of Receipt,2010-08-30,2010-08-26,2010-07-27,2010-08-25,2010-08-23,2010-08-23,2010-08-17,2010-08-09,2010-08-04,2010-07-21
OLC/HDQ,Number of Days Pending,22,24,25,25,27,27,31,37,40,51
PHILADELPHIA,Date of Receipt,2010-08-25,2010-08-24,2010-08-17,2010-08-13,2010-08-10,2010-07-13,2010-06-10,2010-04-21,2010-04-02,2010-03-23
PHILADELPHIA,Number of Days Pending,24,25,30,32,35,55,77,112,125,133
PHOENIX,Date of Receipt,2010-09-22,2010-09-21,2010-09-21,2010-09-17,2010-09-17,2010-09-16,2010-09-15,2010-09-14,2010-09-09,2010-09-09
PHOENIX,Number of Days Pending,5,6,6,8,8,9,10,11,14,14
SAN FRANCISCO,Date of Receipt,2010-09-21,2010-09-22,2010-09-20,2010-09-20,2010-09-20,2010-09-20,2010-09-09,2010-09-09,2010-09-07,2010-07-07
SAN FRANCISCO,Number of Days Pending,6,6,7,7,7,7,14,14,16,60
ST. LOUIS,Date of Receipt,2010-09-03,2010-09-03,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-09-02
ST. LOUIS,Number of Days Pending,17,17,18,18,18,18,18,18,18,18
WFO,Date of Receipt,2010-09-27,2010-09-27,2010-09-27,2010-09-27,2010-09-20,2010-09-17,2010-09-16,2010-09-09,2010-09-07,2010-09-07
WFO,Number of Days Pending,2,2,2,2,7,8,9,14,16,16
