Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,Request referred to another DOT component,5,5
OIG,Not a proper FOIA request for some other reason,1,3
OIG,Referrals,2,3
OIG,Request Misdirected,2,4
OIG,Verification of Identity Not Provided,2,4
OIG,Nonresponsive to Requests for Additional Information,1,6
OIG,Defer to other Agency recommendation,1,6
OIG,Unable to locate requester,2,6
OIG,Records Publicly Available,1,6
OIG,Coordinated by Another Office,1,6
OIG,N/A,0,0
OIG,Records located were not responsive to the request.,2,2
OIG,No Response from Requestor,7,22
OIG,Administratively Closed,5,22
OIG,Enjoined from Release by Court Order,2,22
OIG,Records on OIG Website,8,22
OIG,0,0,0
OIG,Glomarization,2,6
OIG,No authorization to release records,4,6
OIG,Clarification and no longer interest,3,3
PS,Non-responsive record material,30,54
PS,Remanded,1,54
PS,In Litigation,1,54
PS,Duplicate pages,2,54
PS,Referral Pages,20,54
OIG,N/A,0,0
PIS,Referral Pages,2,2
Total,0,107,426
