OGIS Case Number,Letter Date ,Agency/Department,Component,OGIS Case Category,Exemption(s),OGIS Case Description,Doccument URL
201300664,9/27/2013,U.S. Nuclear Regulatory Commission (NRC),,Delay,,Customer requested assistance with Delayed FOIA response.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-09-27-final-letter-201300664.pdf?method=1
201300654,9/27/2013,Department of Homeland Security (DHS),DHS: U.S. Citizenship and Immigration Services (USCIS),Denial,,"Customer requested assistance with an apparent discrepancy between a ""no records"" response and a telephone conversation the customer had regarding a CD containing the requested records that was sent to the customer's former address.",https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-09-27-final-letter-201300654.pdf?method=1
201300530,8/30/2013,Department of Justice (DOJ),DOJ: Drug Enforcement Administration (DEA),Delay,,Customer requested assistance with a Delayed FOIA response.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-08-30-final-letter-201300530.pdf?method=1
201300698,8/27/2013,Department of Justice (DOJ),DOJ: Federal Bureau of Prisons (BOP),Denial,,"Customer requested assistance regarding the agency's ""no records"" response.",https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-08-27-final-letter-201300698.pdf?method=1
201300687,8/19/2013,Department of Justice (DOJ),DOJ: Federal Bureau of Prisons (BOP),Denial,,Customer requested assistance with denied FOIA request.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-08-19-final-letter-201300687.pdf?method=1
201300662,7/31/2013,Department of Justice (DOJ),DOJ: US Marshals Service (USMS),Denial,6,Customer disputed the agency's withholding of the employment information of a mid-level government employee under Exemption 6.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-07-31-final-letter-201300662.pdf?method=1
201300484,7/30/2013,Social Security Administration (SSA),,Denial,7(E),Customer disputed the agency's denial of investigatory information.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-07-30-final-letter-201300484.pdf?method=1
201300649,7/18/2013,Department of Justice (DOJ),DOJ: Federal Bureau of Investigation (FBI),Ombuds Issue,"6, 7(C)",Customer had question regarding obtaining documents pertaining to third-party individuals.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-07-18-final-letter-201300649.pdf?method=1
201300591,7/16/2013,Department of Justice (DOJ),DOJ: Executive Office for US Attorneys (EOUSA),Denial,,"Customer requested assistance regarding the agency's ""no records"" response.",https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-07-16-final-letter-201300591.pdf?method=1
201300555,7/10/2013,Department of the Interior (DOI),DOI: Office of Inspector General (OIG),Delay,,Customer requested assistance with delayed FOIA response.,https://ogis.archives.gov/Assets/OGIS+Final+Response+Letters+to+Customer+PDFs/2013-07-10-final-letter-201300555.pdf?method=1
