Case Number,Letter Date ,Agency/Department,Component,OGIS Case Category,Exemption(s),OGIS Case Description,Document URL
201300800,2014/12/18 ,Department of Agriculture (USDA),USDA: Forest Service,Denial,"6, 7(C) ",Customer requested assistance with denied FOIA request. Provided customer with an explanation of the agency's response to the request.,https://ogis.archives.gov/Assets/2014-12-18-final-letter-201300800.pdf?method=1
201400026,2014/11/06 ,Department of Justice (DOJ),DOJ: Executive Office for U.S. Attorneys (EOUSA),Denial,,"Customer requested assistance with a ""no records"" response. Provided the customer with an explanation of the agency's response and the agency's records management policies.",https://ogis.archives.gov/Assets/2014-11-06-final-letter-201400026.pdf?method=1
201400116,2015/02/27 ,Department of Homeland Security (DHS) ,,Fees,,Customer requested assistance regarding FOIA fees. Provided more information about the agency's position.,https://ogis.archives.gov/Assets/2015-02-27-final-letter-201400116.pdf?method=1
201400205,12/23/2014,Department of Health and Human Services (DHS),DHS: Food and Drug Administration (FDA) ,Ombuds Issue,,"Customer requested assistance with obtaining a schedule from an agency for the rolling release of all remaining documents responsive to a FOIA request. Contacted the agency to discuss the situation with the agency. After hearing from OGIS, the agency reached out to the customer. Together the customer and the agency agreed upon a schedule for interim releases.",https://ogis.archives.gov/Assets/2014-12-23-final-letter-201400205.pdf?method=1
201400419,2015/04/02 ,Department of Justice (DOJ),DOJ: Drug Enforcement Administration (DEA),Denial,"7(C), 7(C), and 7(F)","Customer requested assistance with denied FOIA request. Provided the customer with an explanation of the agency's response to the request and information regarding FOIA Exemptions 7(C), 7(E), and 7(F).",https://ogis.archives.gov/Assets/2015-04-2-final-letter-201400419.pdf?method=1
201400432,2015/05/15 ,Department of Homeland Security (DHS),DHS: U.S. Citizenship and Immigration Services (USCIS) and DHS: U.S. Immigration and Customs Enforcement (ICE),Denial,"5, 6, 7(E), 7(E)","Customer requested assistance with partially denied FOIA requests. OGIS contacted the agencies to which the customer submitted FOIA requests. Based on conversations with OGIS and the FOIA staff at the agencies, the agencies agencies reviewed their decisions and released additional information to the requester. Provided the customer with an explanation of the agencies' responses to the requests.",https://ogis.archives.gov/Assets/2015-05-15-final-letter-201400432.pdf?method=1
201400558,12/16/2014,Department of Justice (DOJ),DOJ: Federal Bureau of Investigation (FBI),Denial,7(E),"Customer requested assistance with a ""no records"" response to a FOIA request; an earlier similar request resulted in some records and requester is concerned about the apparent disparity. Provided requester with information that the agency and appellate authority are firm in their position that the search was adequate. Suggested that a new request might yield some records.",https://ogis.archives.gov/Assets/2014-12-16-final-letter-201400558.pdf?method=1
201400566,12/12/2014,Department of Education (DoEd),,Denial,,"Customer requested assistance with agency's ""no records"" response. OGIS contacted agency and the agency conducted another search and found records. Agency provided OGIS an estimated date of completion for found records.",https://ogis.archives.gov/Assets/2014-12-12-final-letter-201400566.pdf?method=1
201400576,2/5/2015,Department of Defense (DOD) and National Archives and Records Administration (NARA),,Denial,"1, 3",Customer requested assistance with a denied FOIA request.,https://ogis.archives.gov/Assets/2015-02-05-final-letter-201400576.pdf?method=1
201400588,2015/02/19 ,Department of Justice (DOJ) ,DOJ: Bureau of Federal Investigation (FBI) ,Delay ,,Customer requested assistance with a denied FOIA request. The customer chose to file a FOIA suit and OGIS closed the case as an administrative closure.,https://ogis.archives.gov/Assets/2015-02-19-final-letter-201400588.pdf?method=1
201400594,2015/04/23 ,Department of Justice (DOJ),"DOJ: Executive Office for US Attorneys (EOUSA), DOJ: Federal Bureau of Prisons (BOP), and DOJ: US Marshals Service (USMS)",Ombuds Issue ,"4, 5, 7(C), 7(E), and 7(F)",Customer requested assistance with partially denied FOIA request and referrals. Provided the customer with information regarding the agency's response to the request and information on the referred documents.,https://ogis.archives.gov/Assets/2015-04-23-final-letter-201400594.pdf?method=1
201400627,4/3/2015,Department of Justice (DOJ) and U.S. Postal Service (USPS),DOJ: Executive Office for U.S. Attorneys (EOUSA),Denial,"3, 6, and 7(C)","Customer requested assistance with denied FOIA requests. Provided requester with information regarding FOIA, third-party information and the balancing between public and privacy interests.",https://ogis.archives.gov/Assets/2015-04-03-final-letter-201400627.pdf?method=1
201400748,2014/11/06 ,Department of Agriculture (USDA),USDA: Farm Service Agency (FSA),Denial ,"3,6 ",Customer requested assistance with denied FOIA request. Provided more information about the agency's actions and possible next steps.,https://ogis.archives.gov/Assets/2015-02-09-final-letter-201400748.pdf?method=1
201400748,2/9/2015,Department of Agriculture (USDA),USDA: Farm Service Agency (FSA),Denial,"3, 6 ",Customer requested assistance with denied FOIA request. Provided more information about the agency's actions and possible next steps.,https://ogis.archives.gov/Assets/2015-02-09-final-letter-201400748.pdf?method=1
201400813,2014/10/07 ,Department of Justice (DOJ),DOJ: Federal Bureau of Investigation (FBI),Denial,,Customer requested assistance regarding agency's search. OGIS provided the customer with more information about the agency's search and current case law.,https://ogis.archives.gov/Assets/2014-10-07-final-letter-201400813.pdf?method=1
201400828,2015/03/16 ,Department of Health and Human Services (HHS),Centers for Medicare and Medicaid Services (CMS),Delay,,Customer requested assistance with delayed response to appeal. Agency declined to provide an estimated date of completion.,https://ogis.archives.gov/Assets/2015-03-16-final-letter-201400828.pdf?method=1
201400852,3/25/2015,Department of Homeland Security (DHS),DHS: U.S. Immigration and Customs Enforcement (ICE),Denial ,,"Customer requested assistance with a ""no records"" response. OGIS contacted the agency and the agency agreed to conduct another search. The agency located one record which may pertain to the customer's client and released the record to the customer. OGIS shared this information with the customer.",https://ogis.archives.gov/Assets/2015-03-25-final-letter-201400852.pdf?method=1
201400856,2/4/2015,Department of Homeland Security (DHS),,Denial,,Customer disputed agency’s response to a request. OGIS staff contacted the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-02-04-final-letter-201400856.pdf?method=1
201400872,3/25/2015,Department of Justice (DOJ),DOJ: Executive Office for United States Attorneys (EOUSA),Ombuds Issue,,Customer disputed agency’s response to a request. OGIS contacted the agency and obtained information for the requester regarding the agency's response.,https://ogis.archives.gov/Assets/2015-03-25-final-letter-201400872.pdf?method=1
201400882,3/31/2015,Department of Justice (DOJ),"DOJ: Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)",Ombuds Issue,,Customer requested assistance with three FOIA requests. Explained to requester why the appeal authority responded as it did to the appeals and provided the requester with a copy of the recent response to correspondence which the agency sent to an incorrect address.,https://ogis.archives.gov/Assets/2015-03-31-final-letter-201400882.pdf?method=1
201400958,3/26/2015,Environmental Protection Agency (EPA),,Denial,,Customer disputed agency’s response to a request for records. OGIS staff contacted the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-03-26-final-letter-201400958.pdf?method=1
201500005,11/20/2014,Department of Justice (DOJ),DOJ: Federal Bureau of Investigation (FBI) and USPS: Postal Inspection Service (USPIS),Denial,,"Customer requested additional information about withheld records. OGIS obtained the requested information from one agency. However, the second agency declined to provide the requested information.",https://ogis.archives.gov/Assets/2014-11-20-final-letter-201500005.pdf?method=1
201500024,2015/03/26 ,Department of Justice (DOJ),DOJ: Federal Bureau of Investigation ,Denial,3 ,Customer disputed agency’s response to a records request. OGIS staff contacted the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-03-26-final-letter-201500024.pdf?method=1
201500087,2015/03/26 ,Department of Housing and Urban Development (HUD),,Denial,"5, 6 ",Customer disputed agency’s response to a request. OGIS staff contacted the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-03-26-final-letter-201500087.pdf?method=1
201500132,2015/02/20 ,Department of Homeland Security (DHS),DHS: U.S. Customs and Border Protection (CBP) ,Delay,,Customer requested assistance with a delayed FOIA request. OGIS staff contacted the agency and obtained information for the requester regarding the status of the request.,https://ogis.archives.gov/Assets/2015-02-20-final-letter-201500132.pdf?method=1
201500152,2015/06/04 ,Federal Trade Commission (FTC),,Denial ,,Customer disputed agency’s response to a request. OGIS staff contacted the agency and obtained information for the requester regarding the response.,https://ogis.archives.gov/Assets/2015-06-04-final-letter-201500152.pdf?method=1
