Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
Office of the AG,121,N/A,
Office of the DAG,81,N/A,
Office of the Assoc. AG,12,N/A,
Antitrust,29,N/A,
ATF,45,N/A,
BOP,381,N/A,
Civil,20,N/A,
Civil Rights,78,N/A,
COPS,0,N/A,
Criminal,111,N/A,
CRS,0,N/A,
DEA,439,N/A,
ENRD,11,N/A,
EOIR,183,N/A,
EOUSA,1162,N/A,
EOUST,7,N/A,
FBI,1758,N/A,
FCSC,0,N/A,
JMD,43,N/A,
NDIC,4,N/A,
NSD,136,N/A,
ODR,0,N/A,
OFDT,2,N/A,
OIG,10,N/A,
OIP,9,444,
OIPL,7,N/A,
OJP,28,N/A,
OLA,107,N/A,
OLC,41,N/A,
OLP,15,N/A,
OPR,11,N/A,
OSG,0,N/A,
OVW,0,N/A,
Pardon Attorney,0,N/A,
Public Affairs,9,N/A,
PRAO,0,N/A,
TAX,4,N/A,
USMS,15,N/A,
USNCB,14,N/A,
USPC,63,0,
Total,4956,444,
