Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
OCTAE,6375,0,6375,65.5,1.03%,
OSHS,0,0,0,0,0.0%,
FSA,277714,0,277714,1899.16,0.68%,
IES,6211.3,0,6211.3,4949.73,79.69%,
IES-NAGB,2800,0,2800,100.71,3.6%,
M,38326.33,0,38326.33,5213.04,13.6%,
OCFO,23979.75,0,23979.75,0,0.0%,
OCFO-CAM,62946.8,0,62946.8,434.15,0.69%,
OCIO,40765.6,0,40765.6,199.94,0.49%,
OCO,18000,0,18000,0,0.0%,
OCR,133549,0,133549,716.43,0.54%,
OCR-1 Boston,91342.8,0,91342.8,0,0.0%,
OCR-2 New York,357784,0,357784,33,0.01%,
OCR-3 Philadelphia,115955,0,115955,226.8,0.2%,
OCR-4 Atlanta,190091.15,0,190091.15,0,0.0%,
OCR-5 Chicago,307908,0,307908,714.77,0.23%,
OCR-6 Dallas,46430.48,0,46430.48,313.2,0.67%,
OCR-7 Kansas City,62869,0,62869,45,0.07%,
OCR-8 Denver,1192.82,0,1192.82,155.95,13.07%,
OCR-9 San Francisco,4905.29,0,4905.29,0,0.0%,
OCR-10 Seattle,29915.58,0,29915.58,0,0.0%,
OCR-12 Cleveland,30123.65,0,30123.65,0,0.0%,
OCR-Metro D.C.,104500,0,104500,0,0.0%,
ODS,7487.2,0,7487.2,102.97,1.38%,
OESE,336168.23,0,336168.23,2100.34,0.62%,
OGC,87455,57580,145035,38.55,0.04%,
OIG,140202,0,140202,0,0.0%,
OII,86000,0,86000,245.81,0.29%,
OLCA,49536.75,0,49536.75,0,0.0%,
OM,63091,0,63091,0,0.0%,
OM-PIRMS,840907.75,0,840907.75,481.32,0.06%,
OPE,640973,0,640973,1693.46,0.26%,
OPEPD,21800.16,0,21800.16,0,0.0%,
OS,18834.5,0,18834.5,0,0.0%,
OSERS,45334.5,0,45334.5,400.55,0.88%,
OUS,1643,0,1643,0,0.0%,
Total,4293119,57580,4350699,20130,N/A,
