Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
ADJ BDS,8900,0,8900,1627.5,18.29%,
ALJ,70846.47,0,70846.47,3357.84,4.74%,
ASP,76770,0,76770,0,0.0%,
BLS,17520,0,17520,0,0.0%,
CFO,25000,0,25000,0,0.0%,
EBSA,754717,0,754717,24043,3.19%,
ETA,968348.84,0,968348.84,5764.34,0.6%,
ILAB,26000,0,26000,0,0.0%,
MSHA,1944810,0,1944810,65232.01,3.35%,
OASAM,246729.37,0,246729.37,405.39,0.16%,
OCIA,16600,0,16600,0,0.0%,
ODEP,5350,0,5350,0,0.0%,
OFCCP,347018.5,0,347018.5,4757.6,1.37%,
OIG,126000,0,126000,0,0.0%,
OLMS,94000,0,94000,710.05,0.76%,
OPA,300,0,300,0,0.0%,
OSHA,5632203,0,5632203,162986.02,2.89%,
OWCP,365696.5,0,365696.5,2380.35,0.65%,
SOL,890000,485000,1375000,1262.45,0.14%,
VETS,192920,0,192920,1174.9,0.61%,
WB,106000,0,106000,0,0.0%,
WHD,678000,0,678000,16733,2.47%,
Total,12593730,485000,13078730,290434,N/A,
