Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
Admin,0,0.1,0.1,
BVA,0,0.35,0.35,
C&LA,0,0.01,0.01,
CFM,1,1,2,
GC,0,0.55,0.55,
HRM,0,0.5,0.5,
IG,3,0,3,
Mgmt,0,1.01,1.01,
NCA,0,3,3,
OAL,2,1.65,3.65,
OASHRA,0,0.1,0.1,
OASP&IA,0,0.05,0.05,
ODASB,0,0.01,0.01,
ODASIA,0,0.01,0.01,
ODI,0,0.1,0.1,
OF,0,4,4,
OIT,6,0.25,6.25,
ORM,0,0.5,0.5,
OSDBU,0,0.55,0.55,
OSP,0,0.55,0.55,
P&P,0,1,1,
PA,0,0.03,0.03,
SEC,0,0.25,0.25,
VBA,38,64,102,
VHA,5,92.2,97.2,
Total,55,172,227,
