Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
AF,45,121.57,166.57,
AFRICOM,1,0,1,
ARMY,114,166.23,280.23,
ASBCA,0,0.03,0.03,
CENTCOM,17,6.48,23.48,
DCAA,1,0.23,1.23,
DCMA,1,6,7,
DeCA,1,0,1,
DFAS,0,2.05,2.05,
DHA,5,0,5,
DIA,27,3.37,30.37,
DISA,3,0,3,
DLA,7,8.21,15.21,
DoD IG,8,0,8,
DoDEA,1,0,1,
DSS,2,0,2,
DTIC,0,1,1,
DTRA,4,0.93,4.93,
EUCOM,1,1.07,2.07,
JPRA,1,0,1,
NAVY,51,47,98,
NGA,6,1,7,
NGB,0,0.46,0.46,
NORTHCOM,1,0,1,
NRO,0,1.75,1.75,
NSA,15,14,29,
OSD/JS,20,9.6,29.6,
PACOM,2,1,3,
SOCOM,14,6.26,20.26,
SOUTHCOM,3,2,5,
STRATCOM,1,0,1,
TRANSCOM,1,1,2,
Total,353,401,754,
