Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.25,0.25,
ALJ,0,0.81,0.81,
ASP,0,0.4,0.4,
BLS,0,1,1,
CFO,0,0.2,0.2,
EBSA,0,3.14,3.14,
ESA,10,23.2,33.2,
ETA,1,4.58,5.58,
ILAB,0,0.25,0.25,
JOB CORP,0,0.8,0.8,
MSHA,2,16.5,18.5,
OASAM,0,1.41,1.41,
OCIA,0,0.2,0.2,
ODEP,0,0.3,0.3,
OIG,1,0,1,
OPA,0,0.1,0.1,
OSBP,1,0,1,
OSHA,24,39.25,63.25,
SOL,9,2.75,11.75,
VETS,0,1.15,1.15,
WB,1,0,1,
Total,49,96,145,
