Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.45,0.45,
ALJ,0,1,1,
ASP,0,0.5,0.5,
BLS,0,0.4,0.4,
CFO,0,0.3,0.3,
EBSA,0,3.13,3.13,
ETA,8,9.36,17.36,
EXEC SEC,0,0.35,0.35,
ILAB,0,0.1,0.1,
MSHA,5,23.14,28.14,
OASAM,0,4.86,4.86,
OCIA,0,0.45,0.45,
ODEP,0,0.05,0.05,
OFCCP,1,5.6,6.6,
OIG,1,0,1,
OLMS,0,1,1,
OPA,0,0.5,0.5,
OSEC,0,0.25,0.25,
OSHA,5,95.01,100.01,
OWCP,2,2.27,4.27,
SOL,11,4.13,15.13,
VETS,1,0.35,1.35,
WB,0,0.25,0.25,
WHD,6,0.86,6.86,
Total,40,154,194,
