Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.35,0.35,
ALJ,0,0.81,0.81,
ASP,0,0.5,0.5,
BLS,0,0.14,0.14,
CFO,0,0.2,0.2,
EBSA,3,3.03,6.03,
ETA,0,8.75,8.75,
EXEC SEC,0,0.15,0.15,
ILAB,0,0.33,0.33,
MSHA,5,21,26,
OASAM,0,6.03,6.03,
OCIA,0,0.65,0.65,
ODEP,0,0.05,0.05,
OFCCP,0,4.9,4.9,
OIG,1,0,1,
OLMS,0,2,2,
OPA,0,0.4,0.4,
OSEC,0,0.1,0.1,
OSHA,7,50.95,57.95,
OWCP,2,4.95,6.95,
SOL,13,2.3,15.3,
VETS,0,2.05,2.05,
WB,0,0.25,0.25,
WHD,8,3.05,11.05,
Total,39,113,152,
