Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ADJ BDS,0,0.35,0.35,
ALJ,0,0.81,0.81,
ASP,0,0.5,0.5,
BLS,0,0.45,0.45,
CFO,0,0.3,0.3,
EBSA,0,3.79,3.79,
ETA,1,11.23,12.23,
EXEC SEC,0,0.15,0.15,
ILAB,0,0.33,0.33,
MSHA,6,19.25,25.25,
OASAM,0,5.53,5.53,
OCIA,0,0.4,0.4,
ODEP,0,0.5,0.5,
OFCCP,3,5.3,8.3,
OIG,1,0,1,
OLMS,0,2,2,
OPA,0,0.5,0.5,
OSEC,0,0.1,0.1,
OSHA,27,40.6,67.6,
OWCP,3,1.3,4.3,
SOL,10,2.96,12.96,
VETS,0,2.08,2.08,
WB,0,0.25,0.25,
WHD,9,3,12,
Total,60,102,162,
