Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
AMS,Date of Receipt,2015-06-18,2015-03-09,2014-11-03,2014-08-19,2014-08-11,2014-05-28,2014-02-28,2013-04-29,2012-12-10,2012-10-15
AMS,Number of Days Pending,72,136,228,280,286,338,400,609,703,741
APHIS,Date of Receipt,2009-11-16,2009-11-06,2009-08-20,2009-08-20,2008-10-24,2008-05-22,2007-10-02,2007-02-23,2007-01-16,2006-11-20
APHIS,Number of Days Pending,1472,1477,1531,1531,1737,1844,2004,2185,2185,2222
FAS,Date of Receipt,,,,,,,,,,2015-07-13
FAS,Number of Days Pending,,,,,,,,,,56
FNCS,Date of Receipt,2013-10-25,2013-10-25,2013-09-24,2013-09-20,2013-09-03,2013-08-14,2013-07-25,2013-05-10,2012-12-05,2012-10-22
FNCS,Number of Days Pending,484,484,506,508,521,534,548,600,706,736
FS,Date of Receipt,2013-09-13,2013-07-12,2013-07-10,2013-07-02,2013-06-25,2013-06-19,2013-02-07,2012-12-19,2010-04-20,2008-08-07
FS,Number of Days Pending,513,557,559,564,569,573,664,696,1366,1791
FSA,Date of Receipt,,,,,,,,2015-09-28,2015-09-17,2015-05-11
FSA,Number of Days Pending,,,,,,,,2,9,99
FSIS,Date of Receipt,,,,,2014-09-30,2014-09-30,2014-09-19,2014-08-29,2013-12-03,2010-11-15
FSIS,Number of Days Pending,,,,,0,0,7,21,208,971
GIPSA,Date of Receipt,,,,,,,,,,2015-09-28
GIPSA,Number of Days Pending,,,,,,,,,,2
NRCS,Date of Receipt,,,,,,,,2015-04-03,2014-11-04,2014-06-19
NRCS,Number of Days Pending,,,,,,,,125,227,322
OCFO,Date of Receipt,,,,,,,,,,2012-07-19
OCFO,Number of Days Pending,,,,,,,,,,801
OGC,Date of Receipt,,,,,,,,,,2013-09-25
OGC,Number of Days Pending,,,,,,,,,,502
OIG,Date of Receipt,,,,,,,,,2015-09-30,2015-09-28
OIG,Number of Days Pending,,,,,,,,,1,3
OSEC/OCIO/DM,Date of Receipt,,,2015-07-07,2015-01-30,2014-11-04,2014-10-15,2014-10-15,2014-06-04,2014-05-09,2012-04-02
OSEC/OCIO/DM,Number of Days Pending,,,60,169,227,241,333,350,369,877
RD,Date of Receipt,,,,,2015-09-10,2015-07-22,2015-05-18,2015-03-18,2014-03-28,2012-02-07
RD,Number of Days Pending,,,,,14,49,94,137,380,915
RMA,Date of Receipt,2011-10-12,2011-09-28,2011-09-20,2011-09-20,2011-09-06,2011-09-01,2011-08-18,2011-03-17,2010-12-16,2009-05-05
RMA,Number of Days Pending,994,1003,1009,1009,1019,1021,1031,1139,1200,1606
