Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
ALJ,Date of Receipt,,,,,,,,,,2012-09-04
ALJ,Number of Days Pending,,,,,,,,,,19
BLS,Date of Receipt,,,,,,,,,,2012-09-04
BLS,Number of Days Pending,,,,,,,,,,19
EBSA,Date of Receipt,,,,,,,2012-09-27,2012-09-11,2012-09-04,2011-12-28
EBSA,Number of Days Pending,,,,,,,2,14,19,198
ETA,Date of Receipt,2012-08-10,2012-08-09,2012-08-08,2012-07-18,2012-05-23,2012-04-23,2012-04-03,2012-03-05,2011-03-09,2010-08-20
ETA,Number of Days Pending,26,37,38,53,93,115,129,150,408,551
MSHA,Date of Receipt,2012-04-23,2012-04-23,2012-01-25,2012-01-25,2012-01-25,2011-12-06,2011-11-15,2011-10-27,2011-09-01,2011-08-19
MSHA,Number of Days Pending,115,115,178,178,178,214,229,242,282,291
OASAM,Date of Receipt,,2012-09-26,2012-09-04,2012-07-10,2012-04-23,2011-08-16,2011-08-16,2011-05-23,2011-01-04,2010-12-14
OASAM,Number of Days Pending,,3,19,59,115,294,294,355,454,469
OFCCP,Date of Receipt,,,,,,2012-09-28,2012-09-04,2012-07-18,2012-02-27,2012-02-26
OFCCP,Number of Days Pending,,,,,,1,19,53,154,155
OIG,Date of Receipt,,,,,,,,,2011-12-06,2011-09-19
OIG,Number of Days Pending,,,,,,,,,214,270
OLMS,Date of Receipt,,,,2012-09-27,2012-01-18,2012-01-18,2011-11-21,2011-07-22,2010-06-24,2010-01-11
OLMS,Number of Days Pending,,,,2,183,183,225,311,592,710
OSHA,Date of Receipt,2011-10-04,2011-08-16,2011-08-08,2011-07-06,2011-06-10,2010-08-31,2010-08-10,2010-06-08,2009-05-05,2009-04-15
OSHA,Number of Days Pending,259,294,297,323,341,544,559,604,889,903
OWCP,Date of Receipt,2011-12-06,2011-12-06,2011-12-06,2011-11-21,2011-11-21,2011-11-15,2011-11-15,2011-10-27,2011-08-18,2011-04-11
OWCP,Number of Days Pending,214,214,214,225,225,229,229,242,292,385
SOL,Date of Receipt,,,,,,,,,,2011-10-27
SOL,Number of Days Pending,,,,,,,,,,242
VETS,Date of Receipt,,,,,,,2011-05-23,2011-01-10,2010-09-14,2010-09-09
VETS,Number of Days Pending,,,,,,,355,450,534,537
WHD,Date of Receipt,2012-07-10,2012-07-09,2012-06-15,2012-06-04,2012-05-30,2012-05-30,2012-05-23,2012-04-03,2012-04-03,2012-04-03
WHD,Number of Days Pending,59,60,76,85,88,88,93,129,129,129
