Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ARC,108,126,1,415,9,22,1,58,41,41,33,49,
DFRC,112,28,5,65,61,30,29,32,0,0,0,0,
GRC,5,5,1,8,11,20,1,57,0,0,0,0,
GSFC,48,54,3,146,70,98,1,635,0,0,0,0,
HQS,0,0,0,0,0,0,0,0,0,0,0,0,
JPL,42,42,1,110,0,0,0,0,0,0,0,0,
JSC,0,0,0,0,0,0,0,0,0,0,0,0,
KSC,5,9,1,60,10,26,3,160,0,0,0,0,
LaRC,0,0,0,0,557,522,34,871,0,0,0,0,
MSFC,16,16,1,42,35,39,19,77,0,0,0,0,
NSSC,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,29,35,4,146,0,0,0,0,0,0,0,0,
SSC,7,10,2,14,10,22,14,28,0,0,0,0,
Total,29,176,1,146,11,97,1,871,41,41,33,49,
