Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BPA,4.5,15.02,,297,60,85.43,1,265,,,,,
CH,6,6.56,,18,29,35,14,80,,,,,
EMCBC,53,75.33,1,263,78,119,19,271,11,11,11,11,
GFO,,5.95,,59,,,,,,,,,
HQ,52,112.44,,950,79.5,180.96,15,1112,33,32.25,12,51,
ID,10,8.45,2,18,,,,,,,,,
NETL,11.5,14.31,,37,,,,,,,,,
NNSA,6,49,1,309,144.5,297.4,1,1520,,,,,
NRLFO,19,14.33,5,19,,,,,,,,,
ORO,16,22.11,,201,39,37.2,14,57,,,,,
OSTI,12,22,1,112,,,,,,,,,
ROO,15.5,23.11,,171,,,,,37,32,9,50,
SEPA,3,3,3,3,,,,,,,,,
SPR,26,26,26,26,,,,,,,,,
SRO,14,55.8,,455,,,,,,,,,
SWPA,13,14.25,2,29,,,,,,,,,
WAPA,8,9,4,18,,,,,,,,,
Total,15,45,0,950,88,224,1,1520,28,30,9,51,
