Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIS,19,30,4,112,50,73,10,214,0,0,0,0,
Census,19,20,5,66,0,0,0,0,24,25,22,30,
EDA,4,4,1,9,18,21,11,57,8,8,8,8,
ESA,6,6,6,6,0,0,0,0,0,0,0,0,
ITA,14,15,1,43,0,0,0,0,0,0,0,0,
MBDA,12,19,7,76,0,0,0,0,0,0,0,0,
NIST,28,32,1,256,0,0,0,0,0,0,0,0,
NOAA,9,9,1,20,50,119,21,762,6,10,5,40,
NTIA,2,8,1,26,0,0,0,0,19,19,9,29,
NTIS,6,7,6,8,0,0,0,0,5,5,5,5,
OIG,19,26,1,190,0,0,0,0,0,0,0,0,
OS,14,14,1,46,178,198,64,573,0,0,0,0,
PTO,10,10,1,58,0,0,0,0,0,0,0,0,
Total,12,15,1,256,52,119,10,762,20,18,5,40,
