Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
A&MM (049),0,0,0,0,3,9,1,133,,,,,
Admin (03),0,0,0,0,0,0,0,0,0,0,0,0,
BVA (01),0,0,0,0,10,10,1,23,,,,,
OC&LA (009),0,0,0,0,0,0,0,0,0,0,0,0,
OCFM (00CFM),0,0,0,0,22,26,1,76,,,,,
ODM&EEO (06),0,0,0,0,0,0,0,0,0,0,0,0,
GC (02),0,0,0,0,18,12.2,1,36,,,,,
OHRM (05),0,0,0,0,3,3,2,5,2,2,1,2,
IG (50),0,0,0,0,7,8,0,20,,,,,
NCA (40),0,0,0,0,13.5,14,2,43,2,2,2,2,
OASHRA (006),0,0,0,0,0,0,0,0,0,0,0,0,
OASP&IA (002),0,0,0,0,0,0,0,0,0,0,0,0,
ODASB (041),0,0,0,0,0,0,0,0,0,0,0,0,
ODASIA (075),0,0,0,0,0,0,0,0,0,0,0,0,
OF (047),0,0,0,0,69,47.4,1,101,,,,,
OI&T (005),0,0,0,0,2,14,1,185,5,5,5,5,
MGMT (004),0,0,0,0,1,1,1,1,,,,,
ORM (08),0,0,0,0,6,6,6,6,,,,,
OSDBU (00SB),0,0,0,0,0,0,0,0,0,0,0,0,
P&P (008),0,0,0,0,1,1,1,1,,,,,
PA (80),0,0,0,0,0,0,0,0,0,0,0,0,
S&LE (07),0,0,0,0,28,26,20,30,,,,,
SEC (00),0,0,0,0,1,2,2,4,,,,,
VBA (20),0,0,0,0,13,34,1,2104,1,1.5,1,72,
VCS (785),0,0,0,0,0,0,0,0,0,0,0,0,
VHA (10),0,0,0,0,4,11,1,575,1,1,1,107,
Total,0,0,0,0,0,0,1,2104,0,0,1,107,
