Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FAA,9,15,,920,26,55,,1502,19.5,34,,189,
FHWA,15,32,,731,41,179,6,619,28,28,25,31,
FMCSA,36,36,1,192,35,37,2,387,29,68,12,259,
FRA,55,102,2,509,,,,,,,,,
FTA,21,26,1,110,,,,,,,,,
MARAD,16,28,1,224,77,137,47,261,,,,,
NHTSA,,,,,21,30,,253,,,,,
OIG,89,112,1,282,328,422,1,1131,,,,,
OST,18,19,,58,51,72,,582,,,,,
PHMSA,12,31,,434,30,47,,159,6,6,5,6,
RITA,9,12,2,68,49,49,49,49,13,13,13,13,
SLSDC,5,7,5,11,,,,,,,,,
Total,11,19,0,920,29,52,0,1502,21,36,0,259,
