Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FSIP,1,8.89,,45,,,,,,,,,
Authority,11,12,,49,38,37.33,18,56,,,,,
IG,18,18,3,33,,,,,,,,,
OGC,35.5,35.5,20,51,,,,,,,,,
ATRO,9.5,10,4,17,,,,,,,,,
BORO,3,3,3,3,,,,,,,,,
CHRO,10,10,10,10,,,,,,,,,
DARO,16,16,14,18,,,,,,,,,
DERO,1,1,,,,,,,,,,,
SFRO,3.5,4.17,,8,,,,,,,,,
Total,9,11,0,51,38,37,18,56,0,0,0,0,
