Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ACF,54,137,1,370,81,145,1,534,0,0,0,0,
AOA,0,0,0,0,4,5,1,15,0,0,0,0,
CMS,12,19,1,1431,308,489,1,5496,143,243,48,573,
OIG,1,4,0,20,41,50,1,190,0,0,0,0,
OPHS,20,90,0,751,153,222,18,862,0,0,0,0,
AHRQ,0,12,1,30,0,13,10,35,25,15,10,25,
CDC,19,45,0,609,38,97,0,681,0,0,0,0,
FDA,10,95,1,1250,295,317,1,1420,171,254,40,635,
HRSA,0,0,0,0,15,17,1,174,0,0,0,0,
IHS,14,42,15,45,32,35,20,130,0,0,0,0,
NIH,0,0,0,0,16,38,1,802,0,0,0,0,
SAMHSA,10,20,0,30,68,75,12,180,0,0,0,0,
OS,0,0,0,0,209,216,1,1646,0,0,0,0,
Total,13,46,0,1431,97,132,1,5496,33,51,0,635,
