Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ADJ BDS,7,10,1,33,0,0,0,0,0,0,0,0,
ALJ,0,0,0,0,3,6.5,1,131,2,2.8,1,20,
ASP,0,0,0,0,16,16,16,16,0,0,0,0,
BLS,12,12,6,16,0,0,0,0,0,0,0,0,
CFO,0,0,0,0,19,55.9,9,198,0,0,0,0,
EBSA,1,4,0,156,20,19.5,1,181,12,12,12,12,
ESA - OFCCP,8,10,2,40,19,33.7,2,279,54,54,54,54,
ESA - OLMS,17,23.7,1,105,17,37.7,0,219,0,0,0,0,
ESA - OMAP,0,0,0,0,25,25.5,18,33,0,0,0,0,
ESA - OWCP,10,12.14,1,251,26,25,18.5,41,10,10,10,10,
ESA - WHD,10,20,1,272,29,63,1,231,2,4,1,11,
ETA,84,109,1,343,83,99.1,1,298,41,67.5,2,195,
ILAB,8,8,8,8,20,27.1,1,34,0,0,0,0,
JOB CORP,2,1,1,2,0,0,0,0,1,1,1,1,
MSHA,0,0,0,0,9,14.7,0,329,10,61.7,2,180,
OASAM,0,0,0,0,26,38.6,1,128,23,23,9,47,
OCIA,0,0,0,0,0,0,0,0,0,0,0,0,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,14,31,5,136,48,89,31,177,5,5,3,5,
OPA,8,5,3,10,0,0,0,0,0,0,0,0,
OSBP,0,0,0,0,0,0,0,0,0,0,0,0,
OSHA,8,24,1,494,24,163,1,550,8,14,1,138,
SOL,12,13.4,1,31,38,38,38,38,59,59,59,59,
VETS,10,10.7,1,63,0,5.5,7,23,3,2,1,10,
WB,24,24,24,24,0,0,0,0,0,0,0,0,
Total,10,20,0,494,19,47,0,550,10,24,1,195,
