Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ADJ BDS,6,8.1,3,19,13,13,13,13,1,1,1,1,
ALJ,0,0,0,0,3,6.3,1,100,2,2,2,2,
ASP,27,27,27,27,0,0,0,0,0,0,0,0,
BLS,20,18.4,11,20,20,42.4,19,99,91,91,91,91,
CFO,0,0,0,0,28.5,25.8,6,39,0,0,0,0,
EBSA,14,154,68,169,20.9,1,186,0,0,0,0,0,
ETA,13,17,0,100,9,17.8,0,279,7,9,1,20,
EXEC SEC,0,0,0,0,0,0,0,0,0,0,0,0,
ILAB,1,1,1,1,19,46.6,1,234,0,0,0,0,
MSHA,0,0,0,0,11,17.7,0,1190,39,105.4,5,386,
OASAM,6.5,23.7,2,109,26,28.9,1,102,49,49,49,49,
OCIA,12,12,12,12,53,410.3,6,1917,0,0,0,0,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,
OFCCP,7,5.9,0,12,17,36,0,223,0,0,0,0,
OIG,3,17,0,70,39,208,7,712,0,3,0,15,
OLMS,35,35,35,35,6.5,20.4,0,87,89,89,89,89,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,
OSEC,0,0,0,0,75,79.3,8,186,0,0,0,0,
OSHA,10,26.3,0,978,12,23.1,0,739,7,18.7,1,193,
OWCP,10,12.5,2,43,15,33.9,0,819,5,5,5,5,
SOL,22,137.8,1,494,42,108,1,852,0,0,0,0,
VETS,14,86.7,3,1842,20,27.5,2,154,0,0,0,0,
WB,0,0,0,0,0,0,0,0,0,0,0,0,
WHD,21,37.7,1,357,29,59.6,0,1249,3,8.7,1,39,
Total,13,29,0,1842,13,25,0,1917,9,31,1,386,
