Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ACF,350,414,1,1244,92,131,1,992,182,182,156,207,
CMS,15,17,1,616,113,136,1,717,36,88,1,360,
OIG,3,4,1,19,23,37,1,277,,,,,
CDC,31,87.8,1,1006,80,200.5,1,1541,,,,,
FDA,9,27.5,1,1220,78.5,169.9,1,1465,22,173.7,1,495,
HRSA,,,,,64,76,1,252,,,,,
IHS,21,35,1,70,85,110,55,165,,,,,
NIH,15,17,1,93,51,74,3,742,,,,,
SAMHSA,91,123,1,710,150,183,1,570,,,,,
OS,,,,,46,122,1,1040,162,162,21,303,
OASH,8,8,1,20,107,224,21,819,30,30,30,30,
ACL,18,26,17,60,,,,,,,,,
Total,9,75,0,1244,64,133,0,1541,36,127,1,495,
