Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FAA,7,29,,665,24,51,,1086,11,22,,291,
FHWA,18,30,1,225,67,72,18,158,5,6,1,11,
FMCSA,34,36,8,95,43,51,6,354,12,24,1,124,
FRA,32,73,1,519,,,,,,,,,
FTA,17,24,,233,,,,,,,,,
MARAD,16,28,1,224,77,137,47,261,,,,,
NHTSA,20,24,,89,30,30,21,39,7,8,,17,
OIG,115,148,1,489,411,370,121,473,,,,,
OST,3,21,,581,43,120,,784,3,3,3,3,
PHMSA,11,58,,441,438,438,438,438,1,1,,1,
RITA,11,14,1,48,14,14,14,14,16,16,16,16,
SLSDC,20,56,6,179,,,,,,,,,
Total,14,34,0,665,13,38,0,1086,8,17,0,291,
