Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIS,19,33,1,181,1,225,225,225,0,0,0,0,
Census,22,26,2,125,0,0,0,0,34,41,31,60,
EDA,4,4,1,9,31,32,15,71,2,2,2,2,
ESA,13,13,7,19,0,0,0,0,0,0,0,0,
ITA,20,15,1,223,0,0,0,0,0,0,0,0,
MBDA,16,16,14,19,0,0,0,0,0,0,0,0,
NIST,11,53,1,758,0,0,0,0,0,0,0,0,
NOAA,9,9,1,20,42,68,21,456,35,80,25,105,
NTIA,12,9,1,20,22,28,1,34,0,0,0,34,
NTIS,5,5,5,5,0,0,0,0,5,5,5,5,
OIG,20,47,0,139,0,0,0,0,0,0,0,0,
OS,20,17,1,44,122,156,50,709,0,0,0,0,
PTO,12,11,1,30,0,0,0,0,0,0,0,0,
Total,15,20,1,758,50,30,1,709,20,17,2,105,
