Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIA,1,1,,23,17,27,,736,,,,,
BLM,3,4,,20,23,55,,776,15,15,15,15,
BOEM,7,8,3,13,25,43,,269,28,28,15,41,
BOR,9,9,1,17,18,33,,381,,,,,
BSEE,11,11,8,13,30,72,,519,,,,,
FWS,12,12,,29,18,42,,713,7,13,4,27,
NPS,,,,,9,29,,1438,9,18,,103,
OIG,16,18,3,81,607,701,1,1870,14,17,8,30,
OS,,,,,31,89,,661,3,3,2,4,
OSM,1,1,,2,16,61,,662,356,289,141,369,
SOL,,,,,82,225,,1497,,,,,
USGS,1,1,,1,15,14,,44,31,,,,
Total,1,2,0,29,18,43,0,1497,12,51,0,369,
