Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BEP,8,9,2,15,8,9,23,32,0,0,0,0,
BPD,0,0,0,0,7.5,3.02,2,50,0,0,0,0,
DO,25,39.9,1,232,72,170.5,1,2064,41,45.3,12,88,
FinCEN,1,2,,4,5,10,,24,,,,,
FMS,13,15,1,160,23,36,2,177,,,,,
IRS,,,,,16,21.01,,557,86,86,84,88,
MINT,6,9.3,,20,,,,,5,5,5,5,
OCC,7,10.02,,648,31,35.4,,108,19.5,20.7,,52,
TIGTA,,,,,20,27.5,6,108,26.5,23,8,31,
TTB,13,11,3,19,22,22,5,30,,,,,
Total,11,12,0,648,11,15,0,2064,9,68,0,88,
