Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
Admin,16,20.67,15,31,57.5,105.78,,296,,,,,
BVA,3,3,3,3,16,19.4,,69,,,,,
C&LA,1,1,1,1,,,,,,,,,
CFM,261.5,239.29,51,397,166,228.53,48,564,,,,,
GC,62,62,62,62,37,52.27,2,120,2,2,2,2,
HRM,279,279,279,279,87,214,85,470,,,,,
Mgmt,222,222,222,222,161.5,177.25,,386,,,,,
NCA,20,25,14,45,31.5,39.56,1,226,,,,,
OAL,14,29.73,1,210,17,39.05,,304,65,65,43,87,
OASP&IA,16,16,16,16,,,,,,,,,
OF,35,99,8,254,17.5,17.88,10,31,,,,,
OIT,18,24.09,2,80,49,64.4,,205,104.5,104.5,94,115,
ORM,24,23.43,13,40,23,18.14,1,36,,,,,
OSDBU,,,,,18,17.8,6,25,,,,,
OSP,,,,,3,14,3,31,,,,,
P&P,,,,,74,74,74,74,5,5,5,5,
SEC,33,86.67,3,224,57,138.65,18,1052,65,65,65,65,
VBA,28,48.91,,232,39,61.23,,543,8.5,17.5,1,52,
VHA,3,9.75,,449,7,23.09,,1092,8.5,40,,176,
Total,3,11,0,449,14,38,0,1092,12,41,0,176,
