Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ADJ BDS,6,8.9,2,35,0,0,0,0,13,13,13,13,
ALJ,0,0,0,0,2,12,1,342,0,0,0,0,
ASP,3.5,3.5,1,6,0,0,0,0,0,0,0,0,
BLS,15,15,2,20,0,0,0,0,0,0,0,0,
CFO,0,0,0,0,14,11.1,1,19,0,0,0,0,
EBSA,1,2.3,1,247,2,6.2,1,138,1,1,1,1,
ESA,5,8.9,1,307,8.5,14.4,1,237,9,9,1,10,
ETA,10,81.3,10,224,14,38.8,1,282,25,25,25,25,
ILAB,0,0,0,0,10.5,35.8,2,106,0,0,0,0,
JOB CORP,5,10,5,15,0,0,0,0,0,0,0,0,
MSHA,0,0,0,0,10,12,1,121,0,0,0,0,
OASAM,0,0,0,0,21,24,1,149,6,6,6,6,
OCIA,340,165,30,360,0,0,0,0,0,0,0,0,
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,20,22,1,124,100,124,44,229,33,33,33,33,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,
OSBP,24.5,24.5,12,37,19,24,3,64,0,0,0,0,
OSHA,10,14.6,1,65,15,16.5,1,65,7,4,1,26,
SOL,113,159.5,15,329,0,0,0,0,0,0,0,0,
VETS,10,15,3,32,32.2,43.8,2,127,5.5,5.5,1,15,
WB,20,19,15,21,22,34,16,90,0,0,0,0,
Total,15,26,0,360,9,19,0,342,1,5,0,33,
