Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIS,7,8,1,20,31,34,23,61,16,16,16,16,
Census,7,7,2,12,15,24,1,167,12,12,1,28,
EDA,10,10,2,18,27,33,22,71,,,,,
ESA,12,12,2,15,,,,,,,,,
ITA,10,10,1,19,40,67,27,306,,,,,
MBDA,,,,,118,118,116,120,,,,,
NIST,13,11,1,20,71,140,21,1114,,,,,
NOAA,13,11,1,20,72,108,21,783,,,,,
NTIA,15,11,1,19,158,186,18,541,,,,,
NTIS,8,10,1,20,43,45,21,63,,,,,
OIG,3,8,1,18,1,1,1,1,1,1,1,1,
OS,15,14,8,20,136,157,24,499,,,,,
PTO,17,15,2,20,24,28,21,60,,,,,
Total,15,12,1,20,61,108,1,1114,12,11,1,28,
