Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
CBP,79,120.48,1,544,79,105.96,1,509,23,38.44,1,119,
CRCL,3,3.8,2,6,15.5,19.27,2,81,,,,,
FEMA,109,139.39,1,532,138,172.63,1,899,,,,,
FLETC,17,20.27,1,69,,,,,,,,,
I&A,,,,,66.5,105.25,11,281,,,,,
ICE,46,51.31,1,273,50,72.42,1,519,18,31.64,1,149,
NPPD,55,55.95,1,243,38.5,51.23,3,362,13.5,13.5,11,16,
OIG,27,32.9,1,111,69,80.03,10,304,117,117,117,117,
OPS,1,1.44,1,3,8,9.5,3,19,,,,,
PRIV,14,14,14,14,32.5,28.77,4,43,58,58,58,58,
S&T,9,9,8,10,94,110.17,63,184,93,93,93,93,
TSA,13,11.45,1,20,273,322.49,21,2120,,,,,
USCG,11,11.22,1,20,30,68.81,6,703,,,,,
USCIS,26.72,27.66,1,397,27.4,34.36,2,465,26.37,41.3,5,219,
USSS,16,17,15,20,140,238.28,24,1500,,,,,
Total,17,37,1,544,58,101,1,2120,26,56,1,219,
