Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FAA,9,24,,1075,28,73,,1060,13,21,,157,
FHWA,15,27,,346,91,87,5,221,142,142,142,142,
FMCSA,39,45,9,417,47,71,14,390,34,57,4,229,
FRA,,,,,43,80,1,460,,,,,
FTA,17,43,1,120,,,,,,,,,
MARAD,16,28,1,224,,,,,,,,,
NHTSA,23,19,6,45,,,,,,,,,
OIG,479,443,100,723,90,90,90,90,,,,,
OST,67,156,6,462,141,231,,1531,2,2,2,2,
PHMSA,46,85,5,871,15,15,15,15,82,82,10,153,
RITA,12,20,,79,160,160,160,160,,,,,
SLSDC,14,28,7,155,,,,,,,,,
Total,21,33,0,1075,56,82,0,1531,82,62,0,229,
