Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIS,8,10,1,20,29,42,9,99,10,10,10,10,
Census,3,4,0,20,19,34,1,162,2,22,1,308,
EDA,13,12,3,20,24,25,21,34,0,0,0,0,
ESA,0,0,0,0,0,0,0,0,0,0,0,0,
ITA,0,0,0,0,87,124,42,361,0,0,0,0,
MBDA,0,0,0,0,0,0,0,0,0,0,0,0,
NIST,6,7,0,20,41,109,2,1058,0,0,0,0,
NOAA,9,10,1,20,64,117,21,892,0,0,0,0,
NTIA,12,15,1,49,136,166,19,576,231,231,149,313,
NTIS,18,43,7,148,0,0,0,0,61,61,61,61,
OIG,16,17,1,51,35,55,17,164,1,2,1,5,
OS,11,10,1,20,105,154,21,535,158,158,158,158,
PTO,16,11,1,20,29,33,21,143,9,9,2,10,
Total,9,10,1,148,48,101,1,1058,3,37,1,313,
