Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BEP,20,50,4,175,24,66,4,196,,,,,
DO,20,46,1,547,144,235,2,3018,344,344,344,344,
FinCEN,2,4,1,20,,,,,,,,,
IRS,,,,,19,32,1,904,491,388,25,561,
MINT,6,8,1,19,8,11,4,29,,,,,
OCC,7,10.99,,110,24.5,38.4,1,156,22,23.85,4,64,
TIGTA,19,19,19,19,20,31.24,1,161,207.5,207.5,6,409,
TTB,2,4,1,31,25,19,2,31,,,,,
Fiscal Service,12,13,1,57,28,39,7,211,,,,,
Total,7,12,0,547,19,36,0,3018,34,176,4,561,
