Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ADJ BDS,8,9.7,3,21,45,45,45,45,25,25,6,44,
ALJ,5,13.5,1,212,4,21.5,1,253,1.5,1.5,1.5,2,
ASP,9,41.3,9,106,27,27,27,27,,,,,
BLS,19,19.3,16,23,26,41.1,10,88,,,,,
CFO,,,,,12,12,12,12,,,,,
EBSA,20,25.6,1,262,22,68.1,1,497,72,95.6,1,214,
ETA,10,11.7,1,72,9,16.3,1,348,19,19,19,19,
ILAB,35.5,107.8,10,331,82,104.8,15,404,,,,,
MSHA,,,,,11,22.9,1,760,376,348.6,8,710,
OASAM,26,42,6,122,31.5,58.1,2,576,5,5,3,7,
OCIA,,,,,83.5,83.3,25,133,17,17,17,17,
ODEP,,,,,38,52.7,21,99,,,,,
OFCCP,17,16.6,6,35,27,54.4,1,550,,,,,
OIG,2,19,1,100,72,182,10,588,,,,,
OLMS,24.5,24.5,23,26,33,53.2,2,209,,,,,
OSEC,,,,,72.5,71.8,5,285,,,,,
OSHA,9,18.7,1,1202,13,24.2,1,1592,3,11.1,1,56,
OWCP,10,52.3,1,261,16,21.3,1,136,,,,,
SOL,,,,,115,97.5,3,197,,,,,
VETS,17,17.4,1,99,15.5,21.4,1,100,14,14.8,7,24,
WB,18,18,18,18,,,,,,,,,
WHD,17,30.1,1,429,23,46.7,1,659,7,17.1,2,85,
Total,11,22,1,1202,14,28,1,1592,7,47,1,710,
