Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
FSIP,1,1,0,2,,,,,0,0,0,0,
Authority,20,52,8,325,,,,,0,0,0,0,
IG,3,3,3,3,,,,,0,0,0,0,
OGC,39,39,39,39,,,,,0,0,0,0,
ATRO,8,11,7,19,,,,,0,0,0,0,
BORO,9,8,2,9,,,,,0,0,0,0,
CHRO,1,4,1,9,,,,,0,0,0,0,
DARO,0,0,0,0,,,,,0,0,0,0,
DERO,0,0,0,0,,,,,0,0,0,0,
SFRO,0,0,0,0,,,,,0,0,0,0,
WARO,8,8,2,13,,,,,0,0,0,0,
Total,9,38,0,325,0,0,0,0,0,0,0,0,
