Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FSIP,6,4,1,11,0,0,0,0,0,0,0,0,
Authority,19,44,1,207,0,0,0,0,0,0,0,0,
IG,2,2,2,2,0,0,0,0,0,0,0,0,
OGC,0,0,1,1,0,0,0,0,0,0,0,0,
ATRO,7,8,6,10,0,0,0,0,0,0,0,0,
BORO,5,8,6,10,0,0,0,0,0,0,0,0,
CHRO,1,1,1,1,0,0,0,0,0,0,0,0,
DARO,6,6,6,6,0,0,0,0,0,0,0,0,
DERO,9,9,9,9,0,0,0,0,0,0,0,0,
SFRO,9,11,4,20,0,0,0,0,0,0,0,0,
WARO,1,1,1,1,0,0,0,0,0,0,0,0,
Total,11,27,1,207,0,0,0,0,0,0,0,0,
