Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
Admin,16.5,102.67,1,470,19,19,19,19,,,,,
BVA,9,12.2,1,41,,,,,,,,,
C&LA,125,125,125,125,,,,,,,,,
CFM,3,2.33,1,3,232,229.73,10,558,,,,,
GC,11,12.08,,41,48.5,59.97,,207,,,,,
HRM,64,76.82,5,284,35,35,26,44,,,,,
IG,20,18.95,,44,27,34.42,,193,13,13,13,13,
Mgmt,24.5,31.25,1,74,88,154,23,351,,,,,
NCA,15,15,15,15,88,105.53,19,232,,,,,
OAL,1,9.57,,368,27,55.09,,286,,,,,
OASHRA,22,22,22,22,181,181,181,181,,,,,
OASP&IA,,,,,115,115,115,115,,,,,
ODASIA,,,,,,,,,8,8,8,8,
ODI,,,,,10,10,10,10,,,,,
OIT,10,19.07,,141,73,120.85,14,602,,,,,
ORM,9,11.21,2,25,46.5,46.5,8,85,,,,,
OSDBU,17,23.29,7,45,13,17.6,6,44,,,,,
OSP,17,17,17,17,13,13,13,13,,,,,
P&P,7,7,7,7,19,19,19,19,,,,,
PA,7,7.33,2,13,,,,,14,14,14,14,
SEC,12.5,21.36,,131,28,33.23,1,147,6,6,6,6,
VBA,182,166.63,,793,9,39.4,,858,6.5,6.5,2,11,
VHA,3,12.3,,674,18,40.23,,649,4,32,,322,
Total,4,26,0,793,17,43,0,858,6,30,0,322,
