Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
CBP,7,8.08,1,20,274,262.87,1,680,36,94.06,1,428,
CRCL,2.5,3.75,1,9,90.5,93.88,24,220,,,,,
FEMA,177,235.46,2,695,157,195.67,1,422,19,19,4,34,
FLETC,14,13.33,1,28,,,,,,,,,
I&A,,,,,30,56.97,3,352,,,,,
ICE,4,17.99,1,669,81,112.1,1,645,14,24.42,2,309,
NPPD,77,86.11,1,228,30,56.23,1,340,62,62,9,115,
OIG,9,15.52,1,65,51.5,96.22,1,576,111,111,111,111,
PRIV,7,8.22,1,18,92,113.31,22,482,113,119,10,234,
S&T,13,12.52,1,32,68.5,75.7,36,136,15,15,14,16,
TSA,214.5,364,1,1282,190.5,323.3,1,1361,,,,,
USCG,12,11.64,1,20,27,53.24,1,1277,8,11.84,1,52,
USCIS,23.29,25.3,1,282,50.69,53.59,1,408,14.39,83.43,1,352,
USSS,17,14.08,2,20,186,316.7,21,2083,,,,,
Total,8,24,1,1282,53,102,1,2083,14,31,1,428,
