Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BEP,10,7.6,1,15,0,0,0,0,0,0,0,0,
BPD,0,0,0,0,4,6.4,1,37,0,0,0,0,
DO,0,0,0,0,81,219,2,2179,87,88,2,163,
FinCEN,2,2,1,3,7,10,2,28,0,0,0,0,
FMS,0,0,0,0,13,14,1,31,0,0,0,0,
IRS,0,0,0,0,17,28.2,,988,19,30.3,5,66,
MINT,0,0,0,0,5,12.7,1,71,0,0,0,0,
OCC,10,15,2,20,11,17,1,20,5,9,2,10,
OTS,0,0,0,0,3,16,,569,0,0,0,0,
TIGTA,22,27,1,73,32,34,15,90,0,0,0,0,
TTB,9.5,7,0,16,14,24,14,36,0,0,0,0,
Total,12,16,0,73,16,30,0,2179,76,76,0,163,
