Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,18,21,,768,36,51,,1172,18,24,5,80,
FHWA,17,18,,76,24,43,3,285,8,8,7,8,
FMCSA,95,86,1,263,119,117,4,349,23,23,9,37,
FRA,,,,,48,61,1,500,12,17,3,46,
FTA,20,21,1,98,,,,,,,,,
MARAD,22,49.41,1,688,230,228,1,491,,,,,
NHTSA,20,41.27,1,303,148.5,163.24,30,382,,,,,
OIG,95,110,1,209,147,169,6,303,54,54,54,54,
OST,56,74,,288,98,178,2,782,,,,,
PHMSA,14,44,,296,205,294,12,1105,525,455,238,603,
SLSDC,10,11.8,2,23,,,,,,,,,
Total,41,62,0,768,105,116,0,1172,46,185,3,603,
