Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ADJ BDS,4,6,2,14,0,0,0,0,0,0,0,0,
ALJ,0,0,0,0,4,6.5,1,64,3,8.5,1,29,
ASP,3,3,3,3,3,3,3,3,0,0,0,0,
BLS,19,96.8,14,334,69,78.7,19,148,9,9,9,9,
CFO,0,0,0,0,35,43.2,7,90,0,0,0,0,
EBSA,8,10.4,0,47,17,25.9,1,187,9,8.3,5,11,
ETA,11,16.7,0,281,0,0,0,0,0,0,0,0,
ILAB,0,0,0,0,20,33.8,19,63,0,0,0,0,
MSHA,0,0,0,0,11,17.4,0,519,23,55.5,2,438,
OASAM,0,0,0,0,19,34,1,301,92,92,92,92,
OCIA,0,0,0,0,0,0,0,0,0,0,0,0,
ODEP,4,2,2,4,0,0,0,0,0,0,0,0,
OFCCP,4,10,1,93,17,35.2,1,271,25,25,25,25,
OIG,37,42,4,186,127,130,9,242,1,26,1,41,
OLMS,6,6,2,10,11,29.8,0,223,1,1,1,1,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,
OSHA,9,20,0,294,11,23.6,0,475,6,14.6,1,244,
OWCP,17,56,6,239,12,25,0,276,0,0,0,0,
SOL,38,38,38,38,25,57,6,224,0,0,0,0,
VETS,13,11.73,1,28,21,23.19,1,70,5,10.66,1,45,
WB,11,8,12,13,0,0,0,0,0,0,0,0,
WHD,16,19.8,1,523,37,43.3,0,273,6,9.5,1,41,
Total,16,5,0,523,12,28,0,519,1,12,0,438,
