Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BEP,16,14,1,19,15,11,4,20,0,0,0,1,
BPD,,,,,9,11.76,1,71,,,,,
DO,,,,,102,284.6,,2722,6,6.3,1,44,
FinCEN,2,1.8,1,3,5,6.3,2,22,,,,,
FMS,,,,,12,11,1,32,,,,,
IRS,,,,,14,15.15,0,198,7,9.18,0,18,
MINT,,,,,8,9,1,20,,,,,
OCC,5,10.56,0,131,24,33.48,2,185,5,7.34,,33,
OTS,3,11,0,319,,,,,,,,,
TIGTA,19,22.62,7,49,20,26.67,8,82,10,10,10,10,
TTB,10,6.27,0,17,15,14.4,0,23,,,,,
Total,4,12,0,319,14,15,0,2722,8,9,0,44,
