Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ARC,0,3,3,0,
DFRC,0,1,1,0,
GRC,0,0,0,0,
GSFC,0,0,0,0,
HQ,3,6,8,1,
JPL,0,1,1,0,
JSC,0,0,0,0,
KSC,0,0,0,0,
LaRC,0,3,3,0,
MSFC,0,0,0,0,
NSSC,0,0,0,0,
OGC,0,0,0,0,
OIG,0,0,0,0,
SSC,0,0,0,0,
Total,3,14,16,1,
