Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
Office of the AG,4,4,7,1,
Office of the DAG,1,1,1,1,
Office of the Assoc. AG,0,0,0,0,
Antitrust,0,0,0,0,
ATF,0,1,0,1,
BOP,0,2,2,0,
Civil,0,9,9,0,
Civil Rights,0,0,0,0,
COPS,0,0,0,0,
Criminal,50,45,69,26,
CRS,0,0,0,0,
DEA,21,28,34,15,
ENRD,0,4,4,0,
EOIR,0,2,2,0,
EOUSA,0,23,17,6,
EOUST,0,1,1,0,
FBI,97,1288,1148,237,
FCSC,0,1,1,0,
JMD,2,2,4,0,
NDIC,0,0,0,0,
NSD,0,5,3,2,
ODR,0,0,0,0,
OFDT,0,2,2,0,
OIG,0,1,1,0,
OIP,0,2,2,0,
OIPL,0,0,0,0,
OJP,0,2,1,1,
OLA,0,0,0,0,
OLC,0,0,0,0,
OLP,0,0,0,0,
OPR,0,5,5,0,
OSG,0,0,0,0,
OVW,0,0,0,0,
Pardon Attorney,0,0,0,0,
Public Affairs,0,0,0,0,
PRAO,0,0,0,0,
TAX,0,0,0,0,
USMS,0,10,10,0,
USNCB,0,0,0,0,
USPC,0,0,0,0,
Total,175,1438,1323,290,
