Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BEP,0,0,0,0,
BPD,0,0,0,0,
DO,0,19,13,6,
FinCEN,0,3,3,0,
FMS,1,24,24,1,
IRS,0,47,47,0,
MINT,0,0,0,0,
OCC,0,0,0,0,
OTS,0,0,0,0,
TIGTA,1,2,2,1,
TTB,0,0,0,0,
Total,2,95,89,8,
