Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
A&MM (049),0,0,0,0,
Admin (03),0,0,0,0,
BVA (01),0,0,0,0,
OC&LA (009),0,0,0,0,
OCFM (00CFM),0,0,0,0,
ODM&EEO (06),0,0,0,0,
GC (02),0,0,0,0,
OHRM (05),0,0,0,0,
IG (50),0,0,0,0,
NCA (40),0,0,0,0,
OASHRA (006),0,0,0,0,
OASP&IA (002),0,0,0,0,
ODASB (041),0,0,0,0,
ODASIA (075),0,0,0,0,
OF (047),0,0,0,0,
OI&T (005),0,0,0,0,
MGMT (004),0,0,0,0,
ORM (08),0,0,0,0,
OSDBU (00SB),0,0,0,0,
P&P (008),0,0,0,0,
PA (80),0,0,0,0,
S&LE (07),0,1,1,0,
SEC (00),0,0,0,0,
VBA (20),0,2,2,0,
VCS (785),0,0,0,0,
VHA (10),0,1,1,0,
Total,0,4,4,0,
