Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
ATLANTA,0,0,0,0,
BIRMINGHAM,0,0,0,0,
CHARLOTTE,0,0,0,0,
CHICAGO,0,0,0,0,
DALLAS,0,0,0,0,
HOUSTON,0,0,0,0,
INDIANAPOLIS,0,0,0,0,
LOS ANGELES,0,0,0,0,
MEMPHIS,0,0,0,0,
MIAMI,0,0,0,0,
NEW YORK,0,0,0,0,
OLC/HDQ,0,1,1,0,
PHILADELPHIA,0,0,0,0,
PHOENIX,0,0,0,0,
SAN FRANCISCO,0,0,0,0,
ST. LOUIS,0,0,0,0,
WFO,0,0,0,0,
Total,0,1,1,0,
