Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BPA,1,6,7,0,
CBFO,0,0,0,0,
CH,0,5,4,1,
EMCBC,0,0,0,0,
GFO,0,0,0,0,
HQ,97,151,128,120,
ID,0,0,0,0,
NETL,0,0,0,0,
NNSA,14,7,18,3,
NR,0,0,0,0,
NRLFO,0,0,0,0,
ORO,1,39,40,0,
OSTI,0,0,0,0,
ROO,0,0,0,0,
SEPA,0,0,0,0,
SPR,0,0,0,0,
SRO,1,4,3,2,
SWPA,0,0,0,0,
WAPA,0,0,0,0,
Total,114,212,200,126,
