Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
AF,0,0,0,0,
ARMY,80,191,193,78,
ASBCA,0,0,0,0,
CENTCOM,0,5,0,5,
DCAA,0,0,0,0,
DCMA,0,1,1,0,
DeCA,0,0,0,0,
DFAS,0,7,7,0,
DIA,268,149,155,262,
DISA,0,1,0,1,
DLA,0,0,0,0,
DoDEA,0,2,2,0,
DoDIG,0,2,2,0,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,0,0,0,0,
EUCOM,0,2,0,2,
JFCOM,0,3,3,0,
NAVY,82,384,320,146,
NGA,98,80,35,143,
NORTHCOM,0,2,2,0,
NRO,0,3,1,2,
NSA,77,170,206,41,
OSD/JS,0,52,24,28,
PACOM,0,8,4,4,
SOCOM,17,10,14,13,
SOUTHCOM,0,0,0,0,
STRATCOM,0,1,1,0,
TRANSCOM,38,23,27,34,
TRICARE,0,0,0,0,
Total,660,1096,997,759,
