Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BIS,0,2,2,0,
Census,0,2,2,0,
EDA,0,1,1,0,
ESA,0,0,0,0,
ITA,1,10,5,6,
MBDA,0,0,0,0,
NIST,1,2,3,0,
NOAA,1,11,12,0,
NTIA,1,2,3,0,
NTIS,0,0,0,0,
OIG,0,0,0,0,
OS,0,3,3,0,
PTO,0,0,0,0,
Total,4,33,31,6,
