Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BPA,0,0,0,0,
CBFO,0,0,0,0,
CH,0,0,0,0,
EMCBC,0,0,0,0,
GFO,0,0,0,0,
HQ,104,174,192,86,
ID,0,0,0,0,
NETL,0,0,0,0,
NNSA/AL,5,0,5,0,
NR,0,0,0,0,
ORO,0,0,0,0,
OSTI,0,0,0,0,
PNSO,0,0,0,0,
RL,0,1,1,0,
SEPA,0,0,0,0,
SPR,0,0,0,0,
SROO,0,0,0,0,
SWPA,0,0,0,0,
WAPA,0,0,0,0,
Total,109,175,198,86,
