Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BIA,0,0,0,0,
BLM,0,0,0,0,
BOEMRE,0,0,0,0,
BOR,0,0,0,0,
FWS,0,0,0,0,
NPS,0,0,0,0,
OIG,0,0,0,0,
OS,1,2,1,2,
OSM,0,0,0,0,
SOL,0,0,0,0,
USGS,0,0,0,0,
Total,1,2,1,2,
