Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
BPA,0,1,1,0,
CBFO,0,0,0,0,
CH,0,0,0,0,
EMCBC,0,0,0,0,
GFO,0,0,0,0,
HQ,86,152,158,80,
ID,0,0,0,0,
NETL,0,0,0,0,
NNSA,0,0,0,0,
NR,0,0,0,0,
NRLFO,0,0,0,0,
ORO,0,75,75,0,
OSTI,0,0,0,0,
ROO,0,0,0,0,
SEPA,0,0,0,0,
SPR,0,0,0,0,
SRO,0,9,9,0,
SWPA,0,0,0,0,
WAPA,0,0,0,0,
Total,86,237,243,80,
